id,tag_kr,tag_en,question_kr,question_en,agg_option,agg_option_en,tech_option,tech_option_en,men_option,men_option_en
1,[ROUND 1],[ROUND 1],"중요한 무대를 앞둔 당신, 조명이 나를 비춘다면?","You're about to step into the ring. The spotlight hits you! What's your move?","드디어 내 세상이다! 주인공이 누구인지 보여줄 기회지.","Finally, my time! This is my chance to show them who's boss.","철저한 시뮬레이션대로! 실수 없이 완벽하게 실행한다.","Stick to the simulation. Execute the plan perfectly without a mistake.","긴장은 사치다. 오직 내가 할 일에만 묵묵히 집중한다.","Nerves are a luxury. I stay silent and laser-focused on the task."
2,[ROUND 2],[ROUND 2],"누군가 내 노력을 '운이 좋았을 뿐'이라며 비난한다면?","Someone dismisses your hard work as 'pure luck.' How do you react?","뭐라고? 그 자리에서 내 실력이 뭔지 똑똑히 보여준다.","What? I’ll show them exactly what I’m capable of, right here, right now.","대꾸할 가치도 없다. 더 높은 결과로 그들을 비웃어주마.","Not worth my time. I’ll climb higher and let my success speak for itself.","비난도 성장의 밑거름. 부족한 점을 찾아 조용히 보완한다.","Criticism is fuel for growth. I’ll quietly fix my flaws and improve."
3,[ROUND 3],[ROUND 3],"게임 캐릭터를 고를 때 당신의 확고한 취향은?","When picking a fighter, what’s your go-to playstyle?","복잡한 건 질색! 한 방에 끝내는 압도적인 파괴력.","Keep it simple! One hit, massive damage, fight over.","화려한 콤보와 회피! 적을 농락하는 컨트롤 위주.","Flashy combos and evasion! I dominate with superior control.","좀비 같은 맷집! 아무리 맞아도 쓰러지지 않는 생존력.","Zombie-like toughness! No matter the hits, I never stay down."
4,[ROUND 4],[ROUND 4],"한계에 부딪힌 절체절명의 순간! 나를 움직이는 힘은?","You’re at your absolute limit. What keeps you standing?","여기서 지면 끝이다! 타오르는 승부욕과 오기.","If I lose here, it's over! Pure grit and the burning will to win.","남은 에너지를 계산해 가장 효율적인 반격을 준비한다.","Calculate the remaining energy and counter with maximum efficiency.","나를 믿는 사람들을 실망시키지 않겠다는 책임감.","The weight of responsibility. I won't let down those who believe in me."
5,[ROUND 5],[ROUND 5],"좁은 골목에서 무례한 녀석과 눈이 마주쳤을 때 당신은?","You lock eyes with a rude punk in a narrow alley. What do you do?","어디 한 번... 눈 피하지 않고 당당하게 직진한다.","Bring it on... I walk straight ahead without breaking eye contact.","괜히 힘 빼지 말자. 슬쩍 비켜가며 마찰을 피한다.","Don't waste energy. I'll just slip past and avoid useless friction.","상대의 움직임을 예의주시하며 차분하게 지나간다.","Watch their movements closely and pass through with calm composure."
6,[ROUND 6],[ROUND 6],"친구가 '일단 해봐!'라며 무모한 도전을 제안한다면?","A friend suggests a reckless challenge. Your thoughts?","오히려 좋아! 일단 부딪히며 몸으로 배운다.","Love it! I’ll dive in head-first and learn through the fire.","잠깐만... 리스크를 분석하고 이길 전략부터 짠다.","Hold on... Let me analyze the risks and devise a winning strategy.","한 번 시작하면 끝을 본다. 무조건 완수할 자신 있다.","Once I start, I see it through. I have the grit to finish what I begin."
7,[ROUND 7],[ROUND 7],"모두가 안 된다는 불가능한 프로젝트를 맡게 되었다!","You're assigned an 'impossible' task everyone else gave up on!","내가 된다는 걸 보여주지! 정면으로 밀어붙인다.","I’ll show them it’s possible. I’ll blast through it with pure firepower!","안 되는 이유를 찾고 더 스마트한 우회로를 설계한다.","Identify the bottlenecks and engineer a smarter, alternative route.","될 때까지 한다. 내 사전에 포기란 단어는 없다.","Do it until it's done. 'Surrender' isn't in my dictionary."
8,[ROUND 8],[ROUND 8],"승부 중, 상대의 기세를 완전히 꺾어버리는 나만의 방식은?","During a high-stakes match, how do you break their spirit?","무조건 정면승부! 압도적인 기세로 상대를 찍어누른다.","Direct confrontation! Overwhelm them with an aggressive energy.","상대의 습관을 파악해 허점을 찌를 확률을 계산한다.","Read their habits and calculate the highest probability of a counter.","비겨도 상관없다. 끝날 때까지 평정심을 유지하며 버틴다.","A draw is fine. I'll keep my poker face until the final bell."
9,[ROUND 9],[ROUND 9],"가장 짜릿한 성취감을 느끼는 순간은 언제인가요?","When do you feel the most electric rush of achievement?","내 압도적인 힘으로 승리를 거머쥐었을 때.","When I seize victory through raw, overwhelming power.","내 계획과 계산이 소름 돋게 딱딱 맞았을 때.","When my tactics and calculations align with chilling precision.","한계 상황에서 나 자신을 이겨냈을 때.","When I conquer my own limits in a make-or-break situation."
10,[FINAL],[FINAL],"폭풍 같은 하루를 마치고 거울 속 나에게 날리는 한 마디는?","After a storm of a day, what do you tell your reflection?","오늘도 뜨겁게 잘 싸웠다! 내일도 다 박살 내버리자!","Hell of a fight today! Let's go out and crush them all tomorrow!","수고했어. 내일은 오늘보다 더 효율적으로 움직여보자.","Good job. Let's move even more efficiently tomorrow.","오늘도 잘 버텼다. 흔들리지 말고 내 길을 가자.","You held your ground. Stay steady and keep walking your path."
