id,name_full_kr,name_short_kr,name_full_en,name_short_en,agg,tech,men,summary_kr,summary_en,coach_comment_kr,coach_comment_en,coach_analysis_kr,coach_analysis_en,quote_kr,quote_en,signature_move,move_description_kr,move_description_en,best_match_id,worst_match_id
1,마쿠노우치 이포,이포,Ippo Makunouchi,Ippo,3,2,5,"맑은 눈의 광인, 무한동력 근성","The Pure-Eyed Monster, Infinite Grit","네 놈의 그 지독한 근성... 합격이다!","That relentless grit of yours... You pass!","평소엔 허허 웃으며 양보만 하는 줄 알았더니, 한번 물면 절대 안 놓는 '맑은 눈의 광인'이로구먼! 남들 다 포기할 때 혼자 끝까지 남아서 결과를 뽑아내는 독종, 네 놈이 바로 이포 스타일이다!","I thought you were just a smiling pushover, but you're a 'Pure-Eyed Monster' who never lets go! When everyone else quits, you're the one left standing to get the job done. You are exactly like Ippo!","강하다는 건 어떤 기분일까?","What does it mean to be strong?","Dempsey Roll","무한 위빙 후 쏟아붓는 공포의 8자 연타","A terrifying figure-eight barrage following relentless weaving.",9,10
2,미야타 이치로,미야타,Ichiro Miyata,Miyata,2,5,3,"얼음 송곳, 팩폭 테크니션","The Ice Awl, Cold-Blooded Technician","기술은 좋다만, 좀 더 뜨거워져 봐라!","Your technique is sharp, but you need more fire!","효율만 따지는 차가운 녀석이로구먼! 감정 소모는 질색이고, 오직 완벽한 타이밍만 노리는 타입이지? 얄미울 정도로 자기 할 일을 완벽하게 해놓는 걸 보니, 영락없는 미야타 스타일이야!","You're a cold one who only cares about efficiency! You hate wasting emotion and wait for the perfect timing, don't you? Seeing how you finish your tasks with such annoying precision, you're Miyata through and through!","번개는 소리 없이 지나갈 뿐이야.","Lightning passes without a sound.","Jolt Counter","체중을 실어 카운터를 되돌려주는 기술","A devastating counter that utilizes the opponent's full momentum.",1,3
3,타카무라 마모루,타카무라,Mamoru Takamura,Takamura,5,4,1,"천상천하 유아독존 세계 챔피언","The One and Only, World Champion","임마! 실력은 좋다만 성격이 그게 뭐냐!","Hey! Your skills are great, but your attitude is a mess!","'내가 안 하면 누가 해?' 라는 마인드로 사는 천재적 관종이로구먼! 재수 없지만 실력이 너무 좋아 반박할 수가 없어. 네 놈이 가는 곳은 어디든 시끌벅적한 메인 스테이지가 될 게다!","You're a genius attention-seeker living by the motto 'If not me, then who?' You're arrogant, but your talent is so undeniable it's annoying. Wherever you go, it becomes your main stage!","이 몸이 서 있는 곳이 곧 세계의 중심이다!","Where I stand is the center of the world!","Wild Swing","야수 같은 본능으로 휘두르는 전력 펀치","A savage straight punch swung with beast-like instinct.",9,8
4,마시바 료,마시바,Ryo Mashiba,Mashiba,4,3,3,"차가운 도시의 사신, 의리파 츤데레","The Cold Reaper, Loyal Tsundere","인상은 무섭다만... 속은 따뜻한 놈이군.","You look terrifying, but you've got a warm heart.","첫인상은 화난 줄 알았는데, 자기 사람 챙기는 거 보니 츤데레의 정석이로구먼. 낯가림은 심해도 한 번 믿은 놈은 끝까지 책임지는 의리파야. 딱 마시바 같은 녀석이지!","I thought you were always angry, but seeing you care for your own people, you're a classic Tsundere. You're shy but fiercely loyal to those you trust. Just like Mashiba!","내 영역에 발을 들이지 마라.","Don't step into my territory.","Flicker Jab","채찍처럼 휘어지는 유연하고 긴 원거리 잽","A long, flexible jab that whips like a serpent's sting.",7,1
5,오다 유스케,오다,Yusuke Oda,Oda,3,3,4,"게으른 천재, 벼락치기 아티스트","The Lazy Genius, Cramming Artist","재능은 아깝다만, 그 정신머리로는 못 버텨!","Your talent is a waste with that lazy mindset!","머리도 좋고 센스도 나쁘지 않은데, 항상 결정적인 순간에 '이 정도면 됐지' 하고 타협해버리는구먼! 벼락치기로 위기는 넘겨도 진짜 고비가 오면 밑천 드러나는 스타일이야. 끈기 좀 키워라!","You have brains and sense, but you always settle for 'good enough' at the finish line! You get by with last-minute efforts, but you'll fail when a real crisis hits. Get some grit!","나도 할 때는 하는 남자라고!","I can do it when I actually try!","Cross Counter","상대의 공격을 역이용하는 날카로운 반격","A sharp counter-blow that uses the opponent's power against them.",6,1
6,하야미 류이치,하야미,Ryuichi Hayami,Hayami,4,5,1,"자기애 뿜뿜, 화려한 샷건 스타","Full of Self-Love, Flashy Shotgun Star","화려한 것도 좋다만 기본도 잊지 마라!","Flashy is fine, but don't forget the basics!","꾸미는 거 좋아하고 주목받는 걸 즐기는 트렌드세터로구먼. 센스는 인정한다만, 남의 비난 한마디에 멘탈이 바스라지는 유리 심장은 좀 고쳐야겠어!","You're a trendsetter who loves the spotlight. I'll give you credit for style, but you need to fix that 'glass heart' that shatters at the first sign of criticism!","내 화려한 무대에 박수를 쳐줘!","Applaud my magnificent performance!","Shotgun","눈이 따라갈 수 없는 초고속 연타 기술","A high-speed barrage that the eye cannot follow.",10,4
7,제이슨 오즈마,오즈마,Jason Ozuma,Ozuma,5,1,4,"예의 바른 헐크, 든든한 수호신","The Polite Hulk, Reliable Guardian","덩치값 하는 예의 바른 청년이로군!","You're a polite young man who lives up to your size!","인상은 험악해도 속마음은 솜사탕이구먼. 예의 없는 놈은 절대 못 참지? 평소엔 젠틀하다가도 내 친구가 무시당하면 눈 돌아가서 앞장서는 아주 든든한 녀석이야!","You look scary, but you're a marshmallow inside. You can't stand rudeness, right? Usually gentle, but you're the first to explode if your friends are insulted. A reliable soul!","진정한 힘은 선한 마음에서 나옵니다.","True strength comes from a kind heart.","Power Hook","보이지 않는 각도에서 꽂히는 묵직한 훅","A heavy hook delivered from a blind angle.",6,3
8,코바시 켄타,코바시,Kenta Kobashi,Kobashi,1,6,3,"얄미운 실속파, 효율성 끝판왕","Annoying Pragmatist, King of Efficiency","이그... 얄미운 놈! 그래도 이겼으니 됐다!","Ugh... such a sneaky brat! But a win is a win!","화려한 건 됐고 결과가 제일 중요하지? 가성비와 손익 계산 하나는 기막히게 하는 실속파 전략가야. 남들 몰래 꿀 빠는 법을 제일 잘 아는 영리한 녀석이지!","Forget the flash; only the result matters to you. You're a strategist who's brilliant at calculating cost-benefit. You always know the smartest way to get ahead quietly!","모두가 흥분할 때 나는 승리를 확정한다.","When everyone gets reckless, I secure the win.","Clinch & Jab","상대 흐름을 끊고 점수를 따는 실용적 기술","A practical technique to break the rhythm and score points.",2,3
9,카모가와 겐지,관장님,Genji Kamogawa,Genji,2,3,5,"뜨거운 꼰대(?), 영원한 멘토","The Fiery Mentor, Old School Spirit","허허, 이 늙은이와 닮은 녀석이 있다니!","Ho ho, so there's someone similar to this old man!","잔소리는 좀 많아도 그게 다 애정이라는 걸 사람들이 알랑가 모르겠군. 기본기 안 지키는 꼴은 못 보지만, 네 뜨거운 열정만큼은 이 늙은이도 인정하마!","I nag a lot, but I hope people know it's out of love. I can't stand it when basics are ignored, but I'll acknowledge your burning passion!","근성이다! 네 영혼을 주먹에 담아라!","It's all about grit! Put your soul into your fists!","Tekken (Iron Fist)","수만 번 단련된 정직하고 파괴적인 한 방","A straightforward, devastating blow forged through endless training.",1,6
10,센도 타케시,센도,Takeshi Sendo,Sendo,6,1,3,"나니와의 호랑이, 야생의 본능","The Tiger of Naniwa, Wild Instinct","네 놈, 아주 야생의 냄새가 풀풀 나는구먼!","You... you reek of the wild!","복잡하게 머리 굴리는 건 딱 질색이지? 몸이 먼저 움직이는 스타일이로구먼! 압도적인 위압감으로 주변을 긴장시키지만, 사실 누구보다 화끈하고 뒤끝 없는 상남자, 센도 스타일이다!","You hate overthinking, don't you? You're the type whose body moves first! You intimidate everyone, but you're actually a straightforward guy with no grudges. Pure Sendo!","강한 놈이랑 붙는 거, 그것뿐이면 충분하잖아?","Fighting strong guys... that's all I need, right?","Smash","아래에서 위로 쳐올리는 공포의 필살기","A terrifying upward diagonal blow from the depths.",1,2
